,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,time_ms,delta_ms,accel_ms2_x,accel_ms2_y,accel_ms2_z,mag_uT_x,mag_uT_y,mag_uT_z,gyro_degs_x,gyro_degs_y,gyro_degs_z,euler_deg_x,euler_deg_y,euler_deg_z,quaternion_w,quaternion_x,quaternion_y,quaternion_z,lin_accel_ms2_x,lin_accel_ms2_y,lin_accel_ms2_z,gravity_ms2_x,gravity_ms2_y,gravity_ms2_z
37,357.09999999999997,7,8.82,3.93,0.91,-22.375,5.1875,-39.375,0.5955555555555555,0.15,-0.12666666666666668,354.5,66.125,-82.4375,194560000.0,82132992.0,-165429248.0,9338880.0,-0.14,0.0,0.39,8.97,3.92,0.52
38,367.925,10,8.81,3.98,0.89,-22.375,5.1875,-39.375,0.6344444444444445,0.1711111111111111,-0.1322222222222222,354.1875,66.0625,-82.5,194494464.0,82804736.0,-165150720.0,9781248.0,-0.14,0.04,0.37,8.96,3.94,0.51
39,377.545,9,8.8,4.04,0.98,-22.375,5.1875,-39.375,0.6544444444444445,0.17777777777777778,-0.14222222222222222,353.9375,65.9375,-82.625,194428928.0,83492864.0,-164855808.0,10223616.0,-0.15,0.08,0.46,8.95,3.96,0.51
40,387.57399999999996,10,8.74,4.08,0.97,-22.375,5.1875,-39.375,0.6511111111111111,0.18555555555555556,-0.15222222222222223,353.6875,65.8125,-82.6875,194379776.0,84197376.0,-164528128.0,10649600.0,-0.2,0.11,0.46,8.94,3.97,0.5
41,399.58,12,8.63,4.16,1.01,-22.75,4.5,-39.6875,0.6277777777777778,0.18222222222222223,-0.16555555555555557,353.4375,65.6875,-82.75,194347008.0,84885504.0,-164184064.0,11042816.0,-0.3,0.16,0.51,8.94,3.99,0.5
42,406.694,7,8.58,4.2,1.01,-22.75,4.5,-39.6875,0.5977777777777777,0.17666666666666667,-0.17666666666666667,353.25,65.5625,-82.75,194330624.0,85573632.0,-163840000.0,11403264.0,-0.35,0.19,0.51,8.93,4.01,0.5
43,417.52,10,8.53,4.22,0.98,-22.75,4.5,-39.6875,0.5577777777777778,0.17333333333333334,-0.1811111111111111,353.0625,65.4375,-82.8125,194314240.0,86212608.0,-163495936.0,11698176.0,-0.38,0.18,0.47,8.92,4.03,0.5
44,427.548,10,8.53,4.27,0.97,-22.75,4.5,-39.6875,0.5233333333333333,0.16,-0.18888888888888888,352.9375,65.3125,-82.8125,194297856.0,86835200.0,-163151872.0,11960320.0,-0.37,0.2,0.46,8.91,4.06,0.5
45,437.61,10,8.6,4.32,0.88,-22.75,4.5,-39.6875,0.48777777777777775,0.14444444444444443,-0.19,352.8125,65.1875,-82.875,194281472.0,87441408.0,-162840576.0,12189696.0,-0.29,0.24,0.37,8.9,4.08,0.5
46,449.701,12,8.61,4.38,0.82,-22.5,3.0625,-39.25,0.4688888888888889,0.13777777777777778,-0.1988888888888889,352.6875,65.0,-82.9375,194248704.0,88031232.0,-162545664.0,12386304.0,-0.27,0.27,0.31,8.89,4.1,0.5
