,0,1,2,3,4,5,6,7,8,9
54,2350.867,164,"(-9.39, 0.47000000000000003, -0.66)","(42.5625, 12.0, 1.0)","(-1.1933333333333334, -0.7077777777777777, -0.5344444444444444)","(-1.1933333333333334, -0.7077777777777777, -0.5344444444444444)","(6.4375, -82.375, -158.625)","(0.66363525390625, 0.06549072265625, 0.74359130859375, -0.03558349609375)","(0.47000000000000003, -0.29, 0.45)","(-9.73, 0.43, -1.1400000000000001)"
55,2394.2549999999997,164,"(-9.74, 0.22, -0.56)","(41.75, 14.875, -1.5625)","(-1.0333333333333334, -0.5511111111111111, -0.6666666666666666)","(-1.0333333333333334, -0.5511111111111111, -0.6666666666666666)","(5.0625, -84.4375, -178.5625)","(0.672607421875, 0.05072021484375, 0.7376708984375, -0.02978515625)","(-0.29, 0.13, 0.8300000000000001)","(-9.76, 0.18, -0.86)"
56,2439.728,164,"(-10.13, 0.29, 0.15)","(43.25, 16.1875, -3.5625)","(-0.8555555555555555, -0.5211111111111111, -0.6)","(-0.8555555555555555, -0.5211111111111111, -0.6)","(4.125, -85.8125, -179.75)","(0.68218994140625, 0.0240478515625, 0.73040771484375, -0.02362060546875)","(-0.37, -0.15, 0.8300000000000001)","(-9.78, -0.01, -0.66)"
57,2484.2149999999997,164,"(-10.19, 0.25, 0.28)","(40.6875, 17.875, -5.5625)","(-0.7977777777777778, -0.33444444444444443, -0.6077777777777778)","(-0.7977777777777778, -0.33444444444444443, -0.6077777777777778)","(3.4375, -86.5625, 178.625)","(0.68719482421875, 0.00531005859375, 0.72613525390625, -0.02093505859375)","(-0.6900000000000001, 0.64, 1.17)","(-9.78, -0.22, -0.53)"
58,2527.148,164,"(-10.4, 0.37, 0.62)","(41.375, 20.1875, -5.75)","(-0.6722222222222223, -0.30444444444444446, -0.38555555555555554)","(-0.6722222222222223, -0.30444444444444446, -0.38555555555555554)","(2.6875, -86.625, 177.8125)","(0.69122314453125, -0.010009765625, 0.722412109375, -0.0166015625)","(-0.64, 0.7000000000000001, 0.98)","(-9.790000000000001, -0.39, -0.4)"
59,2569.374,164,"(-10.370000000000001, 0.17, 0.19)","(41.375, 20.1875, -5.75)","(-0.5, -0.2411111111111111, -0.24555555555555555)","(-0.4888888888888889, -0.22555555555555556, -0.23777777777777778)","(2.0, -86.8125, 177.375)","(0.6953125, -0.01959228515625, 0.71832275390625, -0.01220703125)","(-0.6, 0.61, 0.58)","(-9.790000000000001, -0.45, -0.3)"
60,2609.038,164,"(-10.4, 0.22, 0.39)","(41.375, 22.25, -5.875)","(-0.36777777777777776, -0.2511111111111111, -0.17666666666666667)","(-0.2788888888888889, -0.2644444444444444, -0.13666666666666666)","(1.25, -87.0, 177.25)","(0.69970703125, -0.02581787109375, 0.71392822265625, -0.00775146484375)","(-0.47000000000000003, 0.63, 0.53)","(-9.790000000000001, -0.45, -0.16)"
61,2650.676,164,"(-10.17, 0.01, 0.3)","(39.5625, 21.6875, -5.25)","(-0.027777777777777776, -0.21333333333333332, 0.014444444444444444)","(-0.027777777777777776, -0.21333333333333332, 0.014444444444444444)","(0.75, -87.5, 177.5)","(0.705322265625, -0.025634765625, 0.70843505859375, -0.0045166015625)","(-0.25, 0.17, 0.19)","(-9.790000000000001, -0.41000000000000003, -0.04)"
62,2693.9959999999996,164,"(-10.01, -0.24, 0.11)","(38.75, 22.375, -6.1875)","(-0.051111111111111114, -0.021111111111111112, -0.016666666666666666)","(-0.051111111111111114, -0.021111111111111112, -0.016666666666666666)","(0.625, -87.5, 177.5)","(0.7059326171875, -0.02642822265625, 0.707763671875, -0.00396728515625)","(-0.26, 0.19, 0.04)","(-9.790000000000001, -0.42, -0.03)"
63,2746.1730000000002,164,"(-10.290000000000001, -0.26, -0.09)","(39.875, 22.25, -7.0625)","(0.0, -0.0022222222222222222, -0.03222222222222222)","(0.0, -0.0022222222222222222, -0.03222222222222222)","(0.6875, -87.4375, 177.4375)","(0.7059326171875, -0.02679443359375, 0.707763671875, -0.00433349609375)","(-0.5700000000000001, 0.19, -0.14)","(-9.790000000000001, -0.42, -0.02)"
64,2789.905,164,"(-10.89, -0.29, -0.4)","(39.1875, 22.1875, -6.25)","(0.25666666666666665, -0.07111111111111111, 0.18333333333333332)","(0.25666666666666665, -0.07111111111111111, 0.18333333333333332)","(0.8125, -87.625, 177.625)","(0.70703125, -0.0216064453125, 0.70684814453125, -0.005126953125)","(-1.62, 0.22, -0.54)","(-9.790000000000001, -0.37, 0.0)"
65,2834.259,164,"(-11.71, -0.03, -0.41000000000000003)","(40.6875, 21.375, -7.875)","(0.35, -0.1, 0.5822222222222222)","(0.3688888888888889, -0.12, 0.7)","(0.375, -88.9375, 1.0)","(0.70843505859375, -0.0098876953125, 0.7056884765625, -0.00262451171875)","(-1.84, 0.47000000000000003, -0.33)","(-9.8, -0.09, 0.05)"
66,2883.369,164,"(-11.34, 1.21, 0.4)","(40.6875, 22.375, -8.25)","(1.001111111111111, -0.36, 1.3122222222222222)","(1.001111111111111, -0.36, 1.3122222222222222)","(21.6875, -88.5, -1.25)","(0.7003173828125, 0.15704345703125, 0.683349609375, -0.1339111328125)","(-1.08, 1.11, 0.24)","(-9.790000000000001, 0.36, 0.16)"
67,2926.99,164,"(-9.16, 2.35, -0.22)","(41.0625, 19.75, -9.5625)","(2.051111111111111, -0.8011111111111111, 1.5322222222222222)","(2.051111111111111, -0.8011111111111111, 1.5322222222222222)","(22.5, -83.9375, -5.5)","(0.70733642578125, 0.2005615234375, 0.66302490234375, -0.1409912109375)","(1.1300000000000001, 1.49, -0.78)","(-9.73, 1.06, 0.47000000000000003)"
68,2967.9809999999998,164,"(-6.08, 2.79, -1.19)","(41.0625, 19.75, -9.5625)","(2.117777777777778, -1.5655555555555556, 0.3411111111111111)","(1.9333333333333333, -1.9333333333333333, -0.06666666666666667)","(26.0625, -81.375, -54.5)","(0.718017578125, 0.2318115234375, 0.634765625, -0.16650390625)","(4.19, 1.3800000000000001, -2.3000000000000003)","(-9.68, 1.1500000000000001, 1.05)"
69,3008.569,164,"(-4.98, 2.33, -1.37)","(41.0625, 13.375, -9.1875)","(0.8522222222222222, -3.6844444444444444, -1.67)","(0.30777777777777776, -4.375555555555556, -2.128888888888889)","(31.75, -77.1875, -19.75)","(0.74755859375, 0.21807861328125, 0.59014892578125, -0.2127685546875)","(5.43, 1.6, -3.0500000000000003)","(-9.46, 0.5, 2.5)"
